airline_name,sum,count,rate,ci_low,ci_high,p,p_adj,differs_from_average
Viva Air,1,70,0.014285714285714285,0.002526246457890298,0.0765818713120833,3.93242328500071e-12,4.644004641334172e-11,True
Avianca,2,100,0.02,0.00550196755016235,0.07001179072854391,6.748725212571334e-16,1.673683852717691e-14,True
Frontier Airlines,2,100,0.02,0.00550196755016235,0.07001179072854391,6.748725212571334e-16,1.673683852717691e-14,True
Interjet,2,100,0.02,0.00550196755016235,0.07001179072854391,6.748725212571334e-16,1.673683852717691e-14,True
Jetblue Airways,3,100,0.03,0.01025452402403891,0.08451936429052763,7.568685606501638e-15,1.7063945731021874e-13,True
Aeromexico,4,100,0.04,0.015663303991547604,0.09837071435887923,1.2436405471348937e-13,1.9276428480590854e-12,True
Peruvian Airlines,2,43,0.046511627906976744,0.012849260094380213,0.15455498004063972,3.4245275103614248e-06,1.1961729895346948e-05,True
Jetstar Airways,5,100,0.05,0.021543679154367966,0.11175046923191914,1.0188577260984953e-12,1.3298774530127728e-11,True
Volaris,5,100,0.05,0.021543679154367966,0.11175046923191914,1.0188577260984953e-12,1.3298774530127728e-11,True
Spirit Airlines,6,100,0.06,0.027786123963188178,0.12476815445895921,1.1270747881204297e-11,1.164643947724444e-10,True
Lynx Air,7,100,0.07,0.03431926106727266,0.13749514739073504,6.854276293367152e-11,6.799442083020215e-10,True
Tigerair Australia,8,100,0.08,0.04109346148438061,0.14998107700948735,5.85034910033955e-10,4.145390219669167e-09,True
GoAir,8,100,0.08,0.04109346148438061,0.14998107700948735,5.85034910033955e-10,4.145390219669167e-09,True
Silver Airways,8,100,0.08,0.04109346148438061,0.14998107700948735,5.85034910033955e-10,4.145390219669167e-09,True
American Airlines,8,100,0.08,0.04109346148438061,0.14998107700948735,5.85034910033955e-10,4.145390219669167e-09,True
Go First,8,100,0.08,0.04109346148438061,0.14998107700948735,5.85034910033955e-10,4.145390219669167e-09,True
flydubai,8,100,0.08,0.04109346148438061,0.14998107700948735,5.85034910033955e-10,4.145390219669167e-09,True
Vueling Airlines,8,100,0.08,0.04109346148438061,0.14998107700948735,5.85034910033955e-10,4.145390219669167e-09,True
VivaColombia,4,48,0.08333333333333333,0.032883756818091775,0.19553301790367283,2.8522170743063923e-05,8.224998074744015e-05,True
Flair Airlines,9,100,0.09,0.048072540002565146,0.16226212852716312,2.754952467734032e-09,1.7979689789422104e-08,True
Air Canada,9,100,0.09,0.048072540002565146,0.16226212852716312,2.754952467734032e-09,1.7979689789422104e-08,True
Swoop,10,100,0.1,0.05522913706067509,0.17436566150491348,1.9611338242279644e-08,1.0573069313229026e-07,True
Jetstar Japan,4,40,0.1,0.03957952868260635,0.23051775227522303,0.000667317715495938,0.001477632084312434,True
Malindo Air,10,100,0.1,0.05522913706067509,0.17436566150491348,1.9611338242279644e-08,1.0573069313229026e-07,True
Allegiant Air,10,100,0.1,0.05522913706067509,0.17436566150491348,1.9611338242279644e-08,1.0573069313229026e-07,True
Pobeda Airlines,4,38,0.10526315789473684,0.04170257347553526,0.24130521722887321,0.0009794617460882659,0.002076124042990512,True
ITA Airways,11,100,0.11,0.06254196357064568,0.1863129650308032,7.424558747002538e-08,3.757735855625775e-07,True
VivaAerobús,11,100,0.11,0.06254196357064568,0.1863129650308032,7.424558747002538e-08,3.757735855625775e-07,True
Blue Panorama Airlines,4,35,0.11428571428571428,0.04535179333097357,0.25951468646213816,0.0023215490589650317,0.004533418634829353,True
Iberia,12,100,0.12,0.06999406437019488,0.19812099426711421,2.6892575081520256e-07,1.170062915827548e-06,True
Copa Airlines,12,100,0.12,0.06999406437019488,0.19812099426711421,2.6892575081520256e-07,1.170062915827548e-06,True
Condor Airlines,12,100,0.12,0.06999406437019488,0.19812099426711421,2.6892575081520256e-07,1.170062915827548e-06,True
Royal Jordanian Airlines,12,100,0.12,0.06999406437019488,0.19812099426711421,2.6892575081520256e-07,1.170062915827548e-06,True
Jet Airways,12,100,0.12,0.06999406437019488,0.19812099426711421,2.6892575081520256e-07,1.170062915827548e-06,True
Sunwing Airlines,12,100,0.12,0.06999406437019488,0.19812099426711421,2.6892575081520256e-07,1.170062915827548e-06,True
Eurowings,13,100,0.13,0.0775716742724051,0.2098035144007643,9.239417470018226e-07,3.4717811099462425e-06,True
Aer Lingus,13,100,0.13,0.0775716742724051,0.2098035144007643,9.239417470018226e-07,3.4717811099462425e-06,True
Air Serbia,13,100,0.13,0.0775716742724051,0.2098035144007643,9.239417470018226e-07,3.4717811099462425e-06,True
Sun Country Airlines,13,100,0.13,0.0775716742724051,0.2098035144007643,9.239417470018226e-07,3.4717811099462425e-06,True
Icelandair,13,100,0.13,0.0775716742724051,0.2098035144007643,9.239417470018226e-07,3.4717811099462425e-06,True
Philippine Airlines,13,100,0.13,0.0775716742724051,0.2098035144007643,9.239417470018226e-07,3.4717811099462425e-06,True
United Airlines,13,100,0.13,0.0775716742724051,0.2098035144007643,9.239417470018226e-07,3.4717811099462425e-06,True
Jazeera Airways,6,46,0.13043478260869565,0.06117840362035114,0.25665857779073004,0.0016285704582219415,0.0032836217369027762,True
Alliance Air,4,30,0.13333333333333333,0.05309655484054743,0.296813266820363,0.012055625420519838,0.02020131827222243,True
British Airways,14,100,0.14,0.08526343659939131,0.2213718821096384,4.337369981521956e-06,1.4735174731745822e-05,True
Pegasus Airlines,14,100,0.14,0.08526343659939131,0.2213718821096384,4.337369981521956e-06,1.4735174731745822e-05,True
Lion Air,15,100,0.15,0.09305985283656629,0.23283559590832367,1.250555809475994e-05,3.736600490964416e-05,True
Lufthansa,15,100,0.15,0.09305985283656629,0.23283559590832367,1.250555809475994e-05,3.736600490964416e-05,True
Air Arabia,15,100,0.15,0.09305985283656629,0.23283559590832367,1.250555809475994e-05,3.736600490964416e-05,True
Air Europa,15,100,0.15,0.09305985283656629,0.23283559590832367,1.250555809475994e-05,3.736600490964416e-05,True
Cebu Pacific,15,100,0.15,0.09305985283656629,0.23283559590832367,1.250555809475994e-05,3.736600490964416e-05,True
US Airways,13,85,0.15294117647058825,0.09161380494530416,0.24428183676091983,8.582581069271722e-05,0.00021943093867828734,True
Air Canada rouge,16,100,0.16,0.1009528848880478,0.24420269389270247,3.432682194830256e-05,9.253317220846777e-05,True
Flynas,8,50,0.16,0.08337420678033405,0.2851421606303499,0.004399736923559536,0.008023049684137978,True
Scoot,16,100,0.16,0.1009528848880478,0.24420269389270247,3.432682194830256e-05,9.253317220846777e-05,True
Wizz Air,16,100,0.16,0.1009528848880478,0.24420269389270247,3.432682194830256e-05,9.253317220846777e-05,True
Etihad Airways,16,100,0.16,0.1009528848880478,0.24420269389270247,3.432682194830256e-05,9.253317220846777e-05,True
AirAsia,16,100,0.16,0.1009528848880478,0.24420269389270247,3.432682194830256e-05,9.253317220846777e-05,True
Hawaiian Airlines,17,100,0.17,0.1089356611405993,0.2554800476760113,8.95073670321802e-05,0.0002197804655839672,True
CSA Czech Airlines,17,100,0.17,0.1089356611405993,0.2554800476760113,8.95073670321802e-05,0.0002197804655839672,True
Thai Lion Air,17,100,0.17,0.1089356611405993,0.2554800476760113,8.95073670321802e-05,0.0002197804655839672,True
LATAM Airlines,17,100,0.17,0.1089356611405993,0.2554800476760113,8.95073670321802e-05,0.0002197804655839672,True
Laudamotion,6,35,0.17142857142857143,0.08102640053701589,0.3268228229904497,0.0319867050059912,0.048076986918095865,True
Air India,18,100,0.18,0.11700225498946347,0.2666735838630073,0.00031101825036845116,0.0006948876224448278,True
easyJet,18,100,0.18,0.11700225498946347,0.2666735838630073,0.00031101825036845116,0.0006948876224448278,True
Transavia,18,100,0.18,0.11700225498946347,0.2666735838630073,0.00031101825036845116,0.0006948876224448278,True
Turkish Airlines,18,100,0.18,0.11700225498946347,0.2666735838630073,0.00031101825036845116,0.0006948876224448278,True
Boutique Air,7,38,0.18421052631578946,0.09221765185221271,0.3341885807113141,0.03976404812374706,0.057669496694089294,False
AirAsia Philippines,14,75,0.18666666666666668,0.11458109606529082,0.28928584522393425,0.002371560144800809,0.0045948977805515675,True
Qantas Airways,19,100,0.19,0.12514751509768735,0.27778845379064376,0.0007039431399283292,0.0015313850763353128,True
SpiceJet,19,100,0.19,0.12514751509768735,0.27778845379064376,0.0007039431399283292,0.0015313850763353128,True
Bahamasair,10,51,0.19607843137254902,0.11015342512466689,0.3245807948136562,0.026481853732656283,0.041566453960118724,True
Finnair,20,100,0.2,0.1333669333310325,0.2888291655931589,0.0015219931949920907,0.003119457126925938,True
Blue Air,20,100,0.2,0.1333669333310325,0.2888291655931589,0.0015219931949920907,0.003119457126925938,True
Level,15,74,0.20270270270270271,0.12687074804092585,0.30787776943800643,0.007158408799391558,0.012590676469851817,True
Air Transat,21,100,0.21,0.141656540619153,0.29979968834089865,0.0031424603517056903,0.00585962531746625,True
LOT Polish Airlines,21,100,0.21,0.141656540619153,0.29979968834089865,0.0031424603517056903,0.00585962531746625,True
Egyptair,21,100,0.21,0.141656540619153,0.29979968834089865,0.0031424603517056903,0.00585962531746625,True
Austrian Airlines,21,100,0.21,0.141656540619153,0.29979968834089865,0.0031424603517056903,0.00585962531746625,True
Phuket Air,8,38,0.21052631578947367,0.11074791842995876,0.363457794753274,0.08810912568397052,0.12207297860125524,False
Alaska Airlines,21,99,0.21212121212121213,0.1431353548979436,0.30261346417141166,0.004179500092820092,0.007677896466810243,True
Jetstar Pacific,20,93,0.21505376344086022,0.1437502200694047,0.3089635179781433,0.006296642564074723,0.011154052542075223,True
WOW air,22,100,0.22,0.15001282384605397,0.310703535149858,0.006196720442213505,0.011056019206251435,True
TAP Portugal,22,100,0.22,0.15001282384605397,0.310703535149858,0.006196720442213505,0.011056019206251435,True
Cape Air,8,36,0.2222222222222222,0.11716331975796457,0.3808470294611819,0.11849592033142561,0.15548671027615638,False
Kulula,15,67,0.22388059701492538,0.14063731129193657,0.33706966120773757,0.02982400034036329,0.045656494348210466,True
Georgian Airways,9,40,0.225,0.1231609132354074,0.37503096742310027,0.13426701031364352,0.1734282216551229,False
Kenya Airways,23,100,0.23,0.15843265880303448,0.3215438302287378,0.011675964585071964,0.01969822596665202,True
Brussels Airlines,23,100,0.23,0.15843265880303448,0.3215438302287378,0.011675964585071964,0.01969822596665202,True
KLM Royal Dutch Airlines,23,100,0.23,0.15843265880303448,0.3215438302287378,0.011675964585071964,0.01969822596665202,True
Air New Zealand,23,99,0.23232323232323232,0.16009113599176225,0.3245525027920242,0.01500186066602861,0.02463881751771586,True
Air Malta,23,99,0.23232323232323232,0.16009113599176225,0.3245525027920242,0.01500186066602861,0.02463881751771586,True
airBaltic,24,100,0.24,0.16691325556948777,0.3323233634981448,0.02103681276998867,0.03344313824972558,True
Delta Air Lines,24,100,0.24,0.16691325556948777,0.3323233634981448,0.02103681276998867,0.03344313824972558,True
SriLankan Airlines,24,100,0.24,0.16691325556948777,0.3323233634981448,0.02103681276998867,0.03344313824972558,True
Avelo Airlines,23,95,0.24210526315789474,0.16708840091876598,0.3371682077489623,0.030946710731529655,0.0467974650086546,True
Insel Air,16,66,0.24242424242424243,0.15509184941772042,0.35809128601349777,0.0713867508247128,0.1011652240258787,False
Alitalia,25,100,0.25,0.17545211362287677,0.3430446354806161,0.03627652132310494,0.05292104287135309,False
Porter Airlines,25,100,0.25,0.17545211362287677,0.3430446354806161,0.03627652132310494,0.05292104287135309,False
Air India Express,19,75,0.25333333333333335,0.16860049363552165,0.36210326865599607,0.0899736457834413,0.12396368974607468,False
Arik Air,12,47,0.2553191489361702,0.152531540350547,0.3950817553041746,0.22076790685301084,0.27104178663141926,False
Corendon Airlines,12,47,0.2553191489361702,0.152531540350547,0.3950817553041746,0.22076790685301084,0.27104178663141926,False
Saudi Arabian Airlines,26,100,0.26,0.18404698464748137,0.35370989449187185,0.07397206072777783,0.10364446926829887,False
French Bee,22,82,0.2682926829268293,0.18436120492201497,0.37296225483681217,0.1329922272003679,0.17268100704550388,False
Sky Express Airlines,21,78,0.2692307692307692,0.18335614098896336,0.3767690019551264,0.15449446352250895,0.19648526642862676,False
Breeze Airways,27,100,0.27,0.19269584149576344,0.36432116767945,0.11515894471984955,0.1525558504494126,False
SATA Air Azores,27,100,0.27,0.19269584149576344,0.36432116767945,0.11515894471984955,0.1525558504494126,False
Air Berlin,28,100,0.28,0.20139685211186215,0.3748802870992117,0.17243094411728688,0.2170704271121175,False
Norse Atlantic Airways,16,57,0.2807017543859649,0.18079399343823543,0.4083019867604395,0.33127414215570405,0.38570886035030333,False
VLM Airlines,9,32,0.28125,0.15564580497742764,0.45374509425916576,0.46439084489502064,0.5282978418989226,False
American Eagle,27,94,0.2872340425531915,0.20554361168210772,0.38563173993131566,0.23434182642924833,0.284886141933596,False
Iberia Express,20,69,0.2898550724637681,0.19616057979260032,0.40571449973613155,0.3158703095410643,0.36950866399143373,False
Southwest Airlines,29,100,0.29,0.21014835749122268,0.38538891175571116,0.24857797316029828,0.3007187187500194,False
Cubana Airlines,26,89,0.29213483146067415,0.20783608917845903,0.39363505884110656,0.26877699922836606,0.3204648836953595,False
ZIPAIR,15,50,0.3,0.19103553500880943,0.437503504644534,0.5536644289024997,0.6185080106658555,False
fastjet,10,33,0.30303030303030304,0.173755314240536,0.47338135145800575,0.7156289546591097,0.7716346989367792,False
Air China,31,100,0.31,0.22779697212376035,0.40626055719489407,0.4632373109352147,0.5282978418989226,False
Air Tahiti Nui,30,96,0.3125,0.2285095463775014,0.41091879906912687,0.5208990570671406,0.5871953006938676,False
LIAT,21,66,0.3181818181818182,0.21849006730629966,0.43787449888044255,0.6988110173717108,0.7567909707780973,False
Sky Airline,15,47,0.3191489361702128,0.20395378749637438,0.46167343103102854,0.7604161102611868,0.7990813362066709,False
Norwegian,32,100,0.32,0.2366914732499909,0.4166261861045239,0.6004385035193067,0.6618166616568358,False
Jetstar Asia,32,100,0.32,0.2366914732499909,0.4166261861045239,0.6004385035193067,0.6618166616568358,False
Kuwait Airways,32,100,0.32,0.2366914732499909,0.4166261861045239,0.6004385035193067,0.6618166616568358,False
El Al Israel Airlines,33,100,0.33,0.2456312273412803,0.42694656204909476,0.753376850365586,0.7966215477682465,False
Malaysia Airlines,33,100,0.33,0.2456312273412803,0.42694656204909476,0.753376850365586,0.7966215477682465,False
Ethiopian Airlines,33,100,0.33,0.2456312273412803,0.42694656204909476,0.753376850365586,0.7966215477682465,False
Ryanair,33,100,0.33,0.2456312273412803,0.42694656204909476,0.753376850365586,0.7966215477682465,False
TUIfly,22,65,0.3384615384615385,0.23533503312096668,0.45961623084487946,0.8972376117114134,0.9156992909647346,False
Aegean Airlines,34,100,0.34,0.25461520797348164,0.43722271145275377,0.9165997300588486,0.9240517603845303,False
AirAsia India,34,100,0.34,0.25461520797348164,0.43722271145275377,0.9165997300588486,0.9240517603845303,False
Oman Air,35,100,0.35,0.26364248243097527,0.4474555670311204,1.0,1.0,False
Aeroflot Russian Airlines,35,100,0.35,0.26364248243097527,0.4474555670311204,1.0,1.0,False
SmartWings,28,79,0.35443037974683544,0.25795398126893665,0.4644072575670155,0.9066896812271608,0.9215534464931798,False
FlySafair,36,100,0.36,0.2727122040140433,0.4576459754839127,0.8342855455480278,0.8620950637329621,False
Fly540.com,12,33,0.36363636363636365,0.2218717823524236,0.5338382169773361,0.8567436433064213,0.8808844744530113,False
