topic,n_reviews,avg_rating,recommend_rate,top_terms,topic_name
11,1017,1.45,0.028,"refund, cancelled, customer, ticket, customer service, service, email, money","Refunds, cancellations & customer service"
1,659,2.08,0.097,"worst, service, delayed, hours, experience, fly, customer, time",Severe service failures & long delays
3,513,2.1,0.094,"luggage, bag, lost, bags, baggage, airport, days, check",Lost & delayed baggage
2,927,2.13,0.092,"hours, delayed, delay, time, airport, hour, minutes, gate",Flight delays & missed connections
9,380,2.24,0.124,"bag, luggage, carry, pay, baggage, check, extra, bags",Baggage fees & carry-on charges
7,652,3.09,0.195,"seat, seats, staff, passengers, crew, asked, boarding, service","Seating, boarding & staff handling"
8,593,4.89,0.452,"time, airport, check, service, staff, luggage, fly, good",Mixed airport & check-in experience
0,675,5.07,0.468,"food, crew, meal, class, cabin, service, served, business","Cabin service, meals & class"
6,322,5.94,0.602,"china, beijing, shanghai, hong, kong, hong kong, good, food",China & Hong Kong routes
5,559,6.27,0.651,"bangkok, good, time, service, check, cabin, crew, singapore",Asia-hub routes (Bangkok/Singapore)
4,589,6.67,0.683,"good, crew, food, time, cabin, great, service, staff",Positive crew & in-flight service
10,1114,7.37,0.791,"good, seats, crew, service, food, friendly, cabin, seat",Positive comfort & friendly crew
