,odds_ratio,ci_low,ci_high,p_value
"C(seat_type, Treatment(reference=""Economy Class""))[T.Business Class]",0.9156,0.7185,1.1667,0.4757
"C(seat_type, Treatment(reference=""Economy Class""))[T.First Class]",1.1125,0.4848,2.553,0.8014
"C(seat_type, Treatment(reference=""Economy Class""))[T.Premium Economy]",0.5791,0.3756,0.8929,0.0134
"C(type_of_traveller, Treatment(reference=""Solo Leisure""))[T.Business]",0.859,0.6693,1.1025,0.2326
"C(type_of_traveller, Treatment(reference=""Solo Leisure""))[T.Couple Leisure]",0.8575,0.6917,1.063,0.1608
"C(type_of_traveller, Treatment(reference=""Solo Leisure""))[T.Family Leisure]",0.7751,0.6153,0.9764,0.0306
seat_comfort,1.4984,1.3798,1.6271,0.0
cabin_staff_service,1.655,1.5286,1.7918,0.0
food_beverages,1.4696,1.3555,1.5932,0.0
ground_service,1.956,1.8297,2.0911,0.0
value_for_money,3.7221,3.4095,4.0634,0.0
