topic_name,seat_type,cases,value,p,hours,gain_per_case,gain_per_hour,segment,handled_opt,handled_fair,share_opt,share_fair
Baggage fees & carry-on charges,First Class,2,8.0,0.4,0.5,3.2,6.4,Baggage fees & carry-on charges | First Class,2.0,2.0,1.0,1.0
Flight delays & missed connections,First Class,2,8.0,0.35,0.5,2.8,5.6,Flight delays & missed connections | First Class,2.0,2.0,1.0,1.0
"Seating, boarding & staff handling",First Class,7,8.0,0.3,0.5,2.4,4.8,"Seating, boarding & staff handling | First Class",7.0,7.0,1.0,1.0
"Refunds, cancellations & customer service",First Class,3,8.0,0.5,1.0,4.0,4.0,"Refunds, cancellations & customer service | First Class",3.0,3.0,1.0,1.0
Baggage fees & carry-on charges,Business Class,6,4.0,0.4,0.5,1.6,3.2,Baggage fees & carry-on charges | Business Class,6.0,6.0,1.0,1.0
Flight delays & missed connections,Business Class,29,4.0,0.35,0.5,1.4,2.8,Flight delays & missed connections | Business Class,29.0,29.0,1.0,1.0
"Seating, boarding & staff handling",Business Class,51,4.0,0.3,0.5,1.2,2.4,"Seating, boarding & staff handling | Business Class",51.0,51.0,1.0,1.0
"Refunds, cancellations & customer service",Business Class,40,4.0,0.5,1.0,2.0,2.0,"Refunds, cancellations & customer service | Business Class",40.0,40.0,1.0,1.0
Lost & delayed baggage,Business Class,21,4.0,0.6,1.5,2.4,1.5999999999999999,Lost & delayed baggage | Business Class,21.0,21.0,1.0,1.0
Severe service failures & long delays,First Class,4,8.0,0.25,1.5,2.0,1.3333333333333333,Severe service failures & long delays | First Class,4.0,4.0,1.0,1.0
Baggage fees & carry-on charges,Premium Economy,12,1.6,0.4,0.5,0.6400000000000001,1.2800000000000002,Baggage fees & carry-on charges | Premium Economy,12.0,12.0,1.0,1.0
Flight delays & missed connections,Premium Economy,20,1.6,0.35,0.5,0.5599999999999999,1.1199999999999999,Flight delays & missed connections | Premium Economy,20.0,20.0,1.0,1.0
"Seating, boarding & staff handling",Premium Economy,21,1.6,0.3,0.5,0.48,0.96,"Seating, boarding & staff handling | Premium Economy",21.0,21.0,1.0,1.0
"Refunds, cancellations & customer service",Premium Economy,28,1.6,0.5,1.0,0.8,0.8,"Refunds, cancellations & customer service | Premium Economy",28.0,28.0,1.0,1.0
Baggage fees & carry-on charges,Economy Class,307,1.0,0.4,0.5,0.4,0.8,Baggage fees & carry-on charges | Economy Class,307.0,307.0,1.0,1.0
Flight delays & missed connections,Economy Class,777,1.0,0.35,0.5,0.35,0.7,Flight delays & missed connections | Economy Class,777.0,497.0,1.0,0.64
Severe service failures & long delays,Business Class,22,4.0,0.25,1.5,1.0,0.6666666666666666,Severe service failures & long delays | Business Class,22.0,2.0,1.0,0.09
Lost & delayed baggage,Premium Economy,8,1.6,0.6,1.5,0.96,0.64,Lost & delayed baggage | Premium Economy,8.0,0.0,1.0,0.0
"Seating, boarding & staff handling",Economy Class,435,1.0,0.3,0.5,0.3,0.6,"Seating, boarding & staff handling | Economy Class",158.0,43.0,0.36,0.1
"Refunds, cancellations & customer service",Economy Class,914,1.0,0.5,1.0,0.5,0.5,"Refunds, cancellations & customer service | Economy Class",0.0,91.0,0.0,0.1
Lost & delayed baggage,Economy Class,435,1.0,0.6,1.5,0.6,0.39999999999999997,Lost & delayed baggage | Economy Class,0.0,43.0,0.0,0.1
Severe service failures & long delays,Premium Economy,23,1.6,0.25,1.5,0.4,0.26666666666666666,Severe service failures & long delays | Premium Economy,0.0,2.0,0.0,0.09
Severe service failures & long delays,Economy Class,540,1.0,0.25,1.5,0.25,0.16666666666666666,Severe service failures & long delays | Economy Class,0.0,54.0,0.0,0.1
